=== exp_roof_030 | car->van | MODE=adversarial | AREA_FRAC=0.2 | IMG_SIZE=640 | ROT_DEG=20.0 | LR=0.03 | LOWER_TALL=0.6 | LOWER_WIDE=0.75 | ROOF_LEN=0.3 | ROOF_WID=0.7 | MIN_AREA_FRAC=0.001 ===
[eval ] datasets/VisDrone/images/test: 1360 images | 11446 cars | 16628 dropped below 0.10% area
[train] datasets/VisDrone/images/val: 100 images | 1159 cars
  epoch 67/160  total 10857.470  margin 4443.210  hinge 6413.605  tv 0.654  (209s)
  epoch 68/160  total 10871.118  margin 4465.478  hinge 6404.981  tv 0.659  (213s)
  epoch 69/160  total 10820.047  margin 4451.540  hinge 6367.843  tv 0.664  (216s)
  epoch 70/160  total 10855.101  margin 4451.232  hinge 6403.196  tv 0.673  (219s)
  epoch 71/160  total 10857.642  margin 4469.465  hinge 6387.497  tv 0.680  (222s)
  epoch 72/160  total 10881.547  margin 4455.789  hinge 6425.072  tv 0.685  (225s)
  epoch 73/160  total 10850.577  margin 4454.831  hinge 6395.065  tv 0.681  (228s)
  epoch 74/160  total 10858.788  margin 4465.121  hinge 6392.979  tv 0.688  (231s)
  epoch 75/160  total 10928.050  margin 4481.512  hinge 6445.818  tv 0.720  (235s)
  epoch 76/160  total 10861.084  margin 4464.256  hinge 6396.126  tv 0.702  (238s)
  epoch 77/160  total 10888.124  margin 4476.927  hinge 6410.518  tv 0.679  (241s)
  epoch 78/160  total 10890.636  margin 4468.857  hinge 6421.105  tv 0.674  (244s)
  epoch 79/160  total 10870.764  margin 4469.380  hinge 6400.692  tv 0.692  (247s)
  epoch 80/160  total 10880.397  margin 4465.100  hinge 6414.603  tv 0.694  (250s)
  epoch 81/160  total 10888.581  margin 4465.270  hinge 6422.628  tv 0.684  (254s)
  epoch 82/160  total 10918.147  margin 4462.649  hinge 6454.795  tv 0.703  (257s)
  epoch 83/160  total 10841.616  margin 4443.870  hinge 6397.056  tv 0.690  (260s)
  epoch 84/160  total 10894.386  margin 4458.736  hinge 6434.937  tv 0.713  (263s)
  epoch 85/160  total 10896.147  margin 4464.578  hinge 6430.873  tv 0.696  (266s)
  epoch 86/160  total 10837.552  margin 4452.686  hinge 6384.177  tv 0.689  (269s)
  epoch 87/160  total 10889.128  margin 4466.370  hinge 6422.057  tv 0.702  (273s)
  epoch 88/160  total 10854.667  margin 4448.629  hinge 6405.346  tv 0.691  (276s)
  epoch 89/160  total 10825.864  margin 4438.360  hinge 6386.824  tv 0.680  (279s)
  epoch 90/160  total 10810.888  margin 4442.725  hinge 6367.483  tv 0.680  (283s)
  epoch 91/160  total 10853.740  margin 4458.253  hinge 6394.806  tv 0.681  (286s)
  epoch 92/160  total 10785.231  margin 4424.178  hinge 6360.381  tv 0.671  (289s)
