=== s2n_center_05_e160 | car->van | MODE=adversarial | AREA_FRAC=0.05 | IMG_SIZE=640 | MIN_AREA_FRAC=0.001 ===
[eval ] datasets/VisDrone/images/test: 1360 images | 11446 cars | 16628 dropped below 0.10% area
[train] datasets/VisDrone/images/val: 100 images | 1159 cars
  epoch 68/160  total 11552.751  margin 4386.312  hinge 7165.643  tv 0.797  (192s)
  epoch 69/160  total 11567.600  margin 4391.402  hinge 7175.393  tv 0.805  (195s)
  epoch 70/160  total 11562.640  margin 4389.096  hinge 7172.750  tv 0.794  (197s)
  epoch 71/160  total 11557.587  margin 4386.828  hinge 7169.975  tv 0.783  (200s)
  epoch 72/160  total 11572.396  margin 4398.094  hinge 7173.503  tv 0.799  (203s)
  epoch 73/160  total 11554.098  margin 4385.839  hinge 7167.460  tv 0.799  (206s)
  epoch 74/160  total 11564.648  margin 4390.786  hinge 7173.049  tv 0.813  (208s)
  epoch 75/160  total 11559.648  margin 4396.227  hinge 7162.613  tv 0.808  (211s)
  epoch 76/160  total 11556.781  margin 4387.486  hinge 7168.502  tv 0.793  (214s)
  epoch 77/160  total 11546.947  margin 4381.011  hinge 7165.135  tv 0.801  (217s)
  epoch 78/160  total 11555.619  margin 4387.676  hinge 7167.147  tv 0.796  (220s)
  epoch 79/160  total 11567.390  margin 4391.157  hinge 7175.426  tv 0.807  (222s)
  epoch 80/160  total 11550.015  margin 4383.113  hinge 7166.106  tv 0.796  (225s)
  epoch 81/160  total 11564.526  margin 4391.371  hinge 7172.366  tv 0.789  (228s)
  epoch 82/160  total 11560.291  margin 4391.464  hinge 7168.041  tv 0.786  (231s)
  epoch 83/160  total 11572.246  margin 4394.751  hinge 7176.705  tv 0.790  (234s)
  epoch 84/160  total 11547.545  margin 4382.475  hinge 7164.286  tv 0.784  (236s)
  epoch 85/160  total 11561.392  margin 4390.156  hinge 7170.453  tv 0.783  (239s)
  epoch 86/160  total 11544.380  margin 4387.726  hinge 7155.872  tv 0.782  (242s)
  epoch 87/160  total 11570.570  margin 4394.237  hinge 7175.532  tv 0.801  (245s)
  epoch 88/160  total 11550.971  margin 4387.197  hinge 7162.991  tv 0.783  (247s)
  epoch 89/160  total 11553.509  margin 4381.080  hinge 7171.640  tv 0.788  (250s)
  epoch 90/160  total 11552.246  margin 4385.236  hinge 7166.231  tv 0.778  (253s)
  epoch 91/160  total 11565.266  margin 4396.568  hinge 7167.913  tv 0.785  (256s)
  epoch 92/160  total 11545.721  margin 4382.522  hinge 7162.414  tv 0.785  (259s)
